显示名,靶点,PMID,发表日期,期刊,阶段,样本量,关键疗效结果,安全性要点,备注
Tarlatamab (Imdelltra),DLL3×CD3,42501611,2026 Jul,Clin Lung Cancer,摘要未注明（回顾性真实世界研究）,204 patients,"mPFS was 3.8 months(m), mTTD was 2.3 m, and mOS was 11.2 m. ECOG PS ≥ 2 compared to ECOG 0-1 was associated with shorter mPFS (2.1 vs. 4.5; P = .004); mTTD (1.6 vs. 2.8; P = .001) and mOS (3.2 vs. 13.4; P < .001).",摘要未报告,"回顾性真实世界研究 (Flatiron 数据库, 2L+ ES-SCLC); 摘要未报告 ORR; 另一篇 PMID 42449715 为综述, 仅提及 tarlatamab 获批, 无临床数据"
Tebentafusp/IMCgp100 (Kimmtrak),gp100 peptide–HLA-A*02:01×CD3,42465753,2026 Jul,Front Immunol,摘要未注明（病例报告）,1 patient（病例报告）,摘要未报告 ORR; 原文: achieved durable stable disease on imaging (treated with tebentafusp for more than two years),摘要未报告,转移性葡萄膜黑色素瘤单病例报告， 治疗>2年获持久疾病稳定， 患者死于心源性猝死； 尸检示广泛肿瘤坏死与免疫细胞浸润； 另一篇 PMID 42456092 为综述
Catumaxomab (Korjuny/Removab),EpCAM×CD3,42332547,2026 Jun,BMC Anesthesiol,摘要未注明（探索性可行性研究）,Thirty-one patients,摘要未报告 ORR,Residual catumaxomab was detectable in a proportion of ECs but consistently remained below the predefined safety threshold of 70 ng per EC.,"CATUVAB 术中自体血回收去肿瘤细胞可行性研究（离体/术中流程）, 非疗效临床试验; 关键结果: After CATUVAB® processing and final filtration, no EpCAM-positive tumor cells were detectable in any EC; 另一篇 PMID 42395618 为综述， 仅提及 catumaxomab 获批用于恶性腹水"
Obrixtamig/BI 764532,DLL3×CD3,40706016,2025 Sep,J Clin Oncol,phase I,168 patients,"the overall response rate (ORR) was 23% (95% CI, 17.4% to 30.2%), the median duration of response (DoR) was 8.5 months (95% CI, 6.2 to not reached); Regimens B2/B3 achieved an ORR of 28% (95% CI, 20.7% to 35.9%)",The most common treatment-related adverse event was cytokine release syndrome (any grade: 57%; grade ≥3: 3%); most cases occurred early and were reversible.,"非随机 I 期剂量递增/扩展研究 (DLL3+ SCLC/epNEC/LCNEC-L), JCO 发表; MTD 未达到; 另一篇 PMID 42054725 为综述, 无原始临床数据"
AZD5863,CLDN18.2×CD3,40759445,2025 Aug,J Immunother Cancer,摘要未注明（临床前研究）,无（临床前体外/小鼠模型）,摘要未报告 ORR,"Cytokine secretion induced by AZD5863, in vitro and in vivo, was lower compared with a CLDN18.2 TCE with higher affinity for CD3.","临床前机制研究（亲和力调谐 TCE）; 摘要提及 I 期试验设计中: informs the design of a phase 1 trial testing AZD5863 in gastric, pancreatic, and esophageal adenocarcinoma (NCT06005493)"
ERY974,GPC3×CD3,42371773,2026 Jul,Toxicol Sci,摘要未注明（临床前研究）,无患者（16 只食蟹猴 PBMC 离体实验）,摘要未报告 ORR,ERY22 has been previously reported to induce severe CRS in cynomolgus monkeys following in vivo administration.,"临床前 CRS 机制研究； 使用 ERY22(ERY974 的猴替代分子）, 非 ERY974 本体临床数据"
Cibisatamab/RO6958688/RO6958689,CEA×CD3,42010119,2026 Jul,Nat Med,phase 1b,52 treated patients,Confirmed partial responses were observed in 7 out of 52 patients (13.5%).,"Cytokine release syndrome (CRS) occurred in 30 out of 52 patients (57.7%; grade ≥3: 2 out of 52, 3.8%); Colitis occurred in 7 out of 52 patients (13.5%), including immune-mediated enterocolitis and one fatal cytomegalovirus colitis.","cibisatamab + FAP-4-1BBL 联合用药 + obinutuzumab 预处理治疗 MSS 转移性结直肠癌的 1b 期剂量递增研究 (NCT04826003); 确认 PR 7/52 (13.5%) 来自联合方案, 非单药; 摘要未直接使用 ORR 一词; 另一篇 PMID 40108739 为 popPK/ADA 建模研究, 无疗效数据"
Obrindatamab/MGD009,B7-H3×CD3,40183579,2025 Apr,ACS Appl Mater Interfaces,摘要未注明（临床前研究）,无患者（小鼠 GBM 模型）,摘要未报告 ORR,摘要未报告,"临床前分子影像/生物分布研究（89Zr 标记 MGD009, 胶质母细胞瘤模型）, 不含人体临床数据"
Acapatamab/AMG 160,PSMA×CD3,38300720,2024 Apr,Clin Cancer Res,phase I,"133 patients (dose exploration, n = 77; dose expansion, n = 56)","confirmed prostate-specific antigen (PSA) responses (PSA50) were seen in 30.4% of patients and radiographic partial responses in 7.4% (Response Evaluation Criteria in Solid Tumors 1.1). Median PSA progression-free survival (PFS) was 3.3 months [95% confidence interval (CI): 3.0-4.9], radiographic PFS per Prostate Cancer Clinical Trials Working Group 3 was 3.7 months (95% CI: 2.0-5.4)","Cytokine release syndrome (CRS) was the most common treatment-emergent adverse event seen in 97.4% and 98.2% of patients in dose exploration and dose expansion, respectively; grade ≥ 3 was seen in 23.4% and 16.1%, respectively","mCRPC 首次人体研究原始论文; PSA50 30.4% 与影像 PR 7.4% 来自剂量扩展队列 n=56 (总 n=133 不作疗效分母); 另一篇 PMID 41236620 为 World J Urol 2025 Nov 综述, 仅转引本研究数据, 未单列"
TAK-186,EGFR×CD3,41207862,2025 Dec,MAbs,摘要未注明,摘要未注明,摘要未报告 ORR,摘要未报告,"ADA(抗药抗体)表位分析方法学 case study, 非临床疗效报告; 摘要提及 TAK-186 为 'a multidomain T cell engager that has been discontinued from clinical development'(已终止临床开发)"
M701,EpCAM×CD3,41275209,2025 Nov,Exp Hematol Oncol,对照 II 期,"84 patients were enrolled, with 43 in the M701 group receiving paracentesis and IP M701 infusion and 41 in the control group receiving paracentesis alone","median puncture-free survival (PuFS), was 75 days in the M701 group and 25 days in the control group, with a significant difference (p = 0.0065); the overall survival (OS) of patients in the M701 group was certain extended (mOS 110 days vs. 76 days, p = 0.1443, HR = 0.68). The 6-month survival rates were 33.3% and 12.1% in the two groups, respectively","No additional serious adverse events (SAEs) were detected in the M701 group. The most frequent treatment-related adverse events were anemia and low white blood cell count, which were manageable","晚期上皮性肿瘤恶性腹水腹腔灌注研究; PuFS 75 vs 25 天差异有统计学意义 (p=0.0065), OS 110 vs 76 天 p=0.1443 未达统计学显著; 摘要未报告 ORR (终点为 PuFS/OS)"
Ubamatamab/REGN4018,MUC16×CD3,39652449,2024 Dec,Clin Transl Sci,first-in-human study,摘要未注明,摘要未报告 ORR,A step-up dosing approach was used to effectively manage cytokine release syndrome,"转化医学/PK 研究, 支持复发卵巢癌 FIH 研究剂量选择; 摘要未报告 ORR, 仅提及 'clinical activity observed at ubamatamab trough concentrations ≥5 mg/L'; 支持 250 mg(±cemiplimab)与 800 mg 单药 Q3W 扩展队列"
Ertumaxomab,HER2×CD3,40644745,2025 Sep,Cancer Treat Rev,摘要未注明,"A total of 1147 publications were identified of which 30 were included for systematic review; 21 publications were included for meta-analysis, focussing on four TCEs: catumaxomab, ertumaxomab, tebentafusb, and MDX-H210",摘要未报告 ORR,Meta-analysis found that the most prevalent toxicities were gastrointestinal and inflammatory; Cytokine Release Syndrome (CRS) is potentially being under-reported due to challenges of differentiation of CRS from other inflammatory mediated constituent symptoms,"实体瘤 TCE 毒性系统综述与 meta 分析, ertumaxomab 为纳入的 4 个 TCE 之一; 非单产品临床试验, 无ertumaxomab 单独疗效数据"
