显示名,靶点,PMID,发表日期,期刊,阶段,样本量,关键疗效结果,安全性要点,备注
Acapatamab/AMG 160,PSMA×CD3,38300720,2024 Apr,Clin Cancer Res,phase I,"133 patients (dose exploration, n = 77; dose expansion, n = 56)","confirmed prostate-specific antigen (PSA) responses (PSA50) were seen in 30.4% of patients and radiographic partial responses in 7.4% (Response Evaluation Criteria in Solid Tumors 1.1). Median PSA progression-free survival (PFS) was 3.3 months [95% confidence interval (CI): 3.0-4.9], radiographic PFS per Prostate Cancer Clinical Trials Working Group 3 was 3.7 months (95% CI: 2.0-5.4)","Cytokine release syndrome (CRS) was the most common treatment-emergent adverse event seen in 97.4% and 98.2% of patients in dose exploration and dose expansion, respectively; grade ≥ 3 was seen in 23.4% and 16.1%, respectively","mCRPC 首次人体研究原始论文; 摘要未报告 ORR(以 PSA50/rPFS 为终点); 另一篇 PMID 41236620 为 World J Urol 2025 Nov 综述, 仅转引本研究 30.4% PSA 反应率与 CRS 98.2%, 未单列"
CC-1,PSMA×CD3,42482055,2026 Jul,Radiat Oncol,摘要未注明,"Eighteen single-lesion meningioma patients",摘要未报告 ORR,摘要未报告,"摘要与 CC-1 完全无关: 为 ZAP-X 陀螺刀脑膜瘤立体定向放射外科剂量学论文, 疑似 PMID 抓取/检索错误, 无法提取 CC-1 临床数据"
CC-1,PSMA×CD3,42232841,2026 Mar,J Contemp Brachytherapy,摘要未注明,"Twenty-eight patients with NMSC of the face or scalp",摘要未报告 ORR,摘要未报告,"摘要与 CC-1 完全无关: 为头皮/面部非黑色素瘤皮肤癌表面模具近距离放疗论文, 疑似 PMID 抓取/检索错误, 无法提取 CC-1 临床数据"
TAK-186,EGFR×CD3,41207862,2025 Dec,MAbs,摘要未注明,摘要未注明,摘要未报告 ORR,摘要未报告,"ADA(抗药抗体)表位分析方法学 case study, 非临床疗效报告; 摘要提及 TAK-186 为 'a multidomain T cell engager that has been discontinued from clinical development'(已终止临床开发)"
M701,EpCAM×CD3,41275209,2025 Nov,Exp Hematol Oncol,phase II,"84 patients were enrolled, with 43 in the M701 group receiving paracentesis and IP M701 infusion and 41 in the control group receiving paracentesis alone","median puncture-free survival (PuFS), was 75 days in the M701 group and 25 days in the control group, with a significant difference (p = 0.0065); the overall survival (OS) of patients in the M701 group was certain extended (mOS 110 days vs. 76 days, p = 0.1443, HR = 0.68). The 6-month survival rates were 33.3% and 12.1% in the two groups, respectively","No additional serious adverse events (SAEs) were detected in the M701 group. The most frequent treatment-related adverse events were anemia and low white blood cell count, which were manageable","晚期上皮性肿瘤恶性腹水腹腔灌注研究; 摘要未报告 ORR(终点为 PuFS/OS); 另一篇 PMID 38074686 与产品无关(见下行)"
M701,EpCAM×CD3,38074686,2023 Nov,Front Oncol,摘要未注明,摘要未注明,摘要未报告 ORR,摘要未报告,"摘要与 M701 抗体完全无关: 为质子治疗单能 CT 深度学习论文, 文中 'M701' 指 CIRS 人体模型 phantom, 疑似 PMID 抓取/检索错误"
Ubamatamab/REGN4018,MUC16×CD3,39652449,2024 Dec,Clin Transl Sci,first-in-human study,摘要未注明,摘要未报告 ORR,"A step-up dosing approach was used to effectively manage cytokine release syndrome","转化医学/PK 研究, 支持复发卵巢癌 FIH 研究剂量选择; 摘要未报告 ORR, 仅提及 'clinical activity observed at ubamatamab trough concentrations ≥5 mg/L'; 支持 250 mg(±cemiplimab)与 800 mg 单药 Q3W 扩展队列"
Ertumaxomab,HER2×CD3,40644745,2025 Sep,Cancer Treat Rev,摘要未注明,"A total of 1147 publications were identified of which 30 were included for systematic review; 21 publications were included for meta-analysis, focussing on four TCEs: catumaxomab, ertumaxomab, tebentafusb, and MDX-H210",摘要未报告 ORR,"Meta-analysis found that the most prevalent toxicities were gastrointestinal and inflammatory; Cytokine Release Syndrome (CRS) is potentially being under-reported due to challenges of differentiation of CRS from other inflammatory mediated constituent symptoms","实体瘤 TCE 毒性系统综述与 meta 分析, ertumaxomab 为纳入的 4 个 TCE 之一; 非单产品临床试验, 无ertumaxomab 单独疗效数据"
CM350,GPC3×CD3,37835920,2023 Sep,Polymers (Basel),摘要未注明,摘要未注明,摘要未报告 ORR,摘要未报告,"摘要与 CM350 完全无关: 为双酚 A/F 环氧树脂结晶工艺论文(化工/建材领域), 疑似 PMID 抓取/检索错误, 无法提取 CM350 临床数据"
Gocatamig/MK-6070/HPN328,DLL3×CD3,41041866,2026 Feb,Mol Cancer Ther,"摘要提及 'A phase I/II trial of MK-6070 is currently underway, which includes an NEPC cohort (NCT04471727)'(本论文本身为临床前研究)",摘要未注明(临床前研究),摘要未报告 ORR,摘要未报告,"临床前研究: 神经内分泌前列腺癌(NEPC)模型中 MK-6070 的抗肿瘤活性, 'high specificity and antitumor activity in DLL3-expressing NEPC models both in vitro and in vivo'; 无临床疗效数字; 另一篇 PMID 40496850 为 Front Immunol 2025 May SCLC DLL3 综述, 仅提及 HPN328 无具体数据, 未单列"
